sn,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,cond_all
1044,2081,Bull,1.3442,1.3412,1.3424,2104,Bear,1.3517,1.346,1.3469,2120,Bull,1.3467,1.3434,1.3461,2137,Bear,1.3577,1.3558,1.3558,2144,Bull,1.3564,1.3532,1.3563,2263,Bear,1.3674,1.3651,1.3665,TRUE
1083,2081,Bull,1.3442,1.3412,1.3424,2104,Bear,1.3517,1.346,1.3469,2120,Bull,1.3467,1.3434,1.3461,2176,Bear,1.3648,1.3621,1.364,2194,Bull,1.356,1.3544,1.3551,2263,Bear,1.3674,1.3651,1.3665,TRUE
1087,2081,Bull,1.3442,1.3412,1.3424,2104,Bear,1.3517,1.346,1.3469,2120,Bull,1.3467,1.3434,1.3461,2176,Bear,1.3648,1.3621,1.364,2217,Bull,1.3593,1.3571,1.3588,2263,Bear,1.3674,1.3651,1.3665,TRUE
1089,2081,Bull,1.3442,1.3412,1.3424,2104,Bear,1.3517,1.346,1.3469,2120,Bull,1.3467,1.3434,1.3461,2176,Bear,1.3648,1.3621,1.364,2240,Bull,1.3601,1.3584,1.3592,2263,Bear,1.3674,1.3651,1.3665,TRUE
474,2144,Bull,1.3564,1.3532,1.3563,2176,Bear,1.3648,1.3621,1.364,2194,Bull,1.356,1.3544,1.3551,2339,Bear,1.3734,1.3709,1.371,2349,Bull,1.3677,1.3668,1.3673,2367,Bear,1.3773,1.3744,1.3769,TRUE
1736,2282,Bull,1.3591,1.3581,1.359,2287,Bear,1.3612,1.3599,1.3607,2289,Bull,1.3604,1.3569,1.3601,2339,Bear,1.3734,1.3709,1.371,2349,Bull,1.3677,1.3668,1.3673,2367,Bear,1.3773,1.3744,1.3769,TRUE
1242,2194,Bull,1.356,1.3544,1.3551,2263,Bear,1.3674,1.3651,1.3665,2289,Bull,1.3604,1.3569,1.3601,2367,Bear,1.3773,1.3744,1.3769,2392,Bull,1.3727,1.3709,1.3727,2412,Bear,1.3834,1.3819,1.3825,TRUE
1512,2217,Bull,1.3593,1.3571,1.3588,2263,Bear,1.3674,1.3651,1.3665,2289,Bull,1.3604,1.3569,1.3601,2367,Bear,1.3773,1.3744,1.3769,2392,Bull,1.3727,1.3709,1.3727,2412,Bear,1.3834,1.3819,1.3825,TRUE
1602,2240,Bull,1.3601,1.3584,1.3592,2263,Bear,1.3674,1.3651,1.3665,2289,Bull,1.3604,1.3569,1.3601,2367,Bear,1.3773,1.3744,1.3769,2392,Bull,1.3727,1.3709,1.3727,2412,Bear,1.3834,1.3819,1.3825,TRUE
1634,2282,Bull,1.3591,1.3581,1.359,2287,Bear,1.3612,1.3599,1.3607,2289,Bull,1.3604,1.3569,1.3601,2367,Bear,1.3773,1.3744,1.3769,2392,Bull,1.3727,1.3709,1.3727,2412,Bear,1.3834,1.3819,1.3825,TRUE
756,2194,Bull,1.356,1.3544,1.3551,2263,Bear,1.3674,1.3651,1.3665,2289,Bull,1.3604,1.3569,1.3601,2367,Bear,1.3773,1.3744,1.3769,2392,Bull,1.3727,1.3709,1.3727,2443,Bear,1.3835,1.3825,1.3832,TRUE
758,2194,Bull,1.356,1.3544,1.3551,2263,Bear,1.3674,1.3651,1.3665,2289,Bull,1.3604,1.3569,1.3601,2412,Bear,1.3834,1.3819,1.3825,2436,Bull,1.3766,1.3742,1.3743,2443,Bear,1.3835,1.3825,1.3832,TRUE
815,2194,Bull,1.356,1.3544,1.3551,2339,Bear,1.3734,1.3709,1.371,2349,Bull,1.3677,1.3668,1.3673,2412,Bear,1.3834,1.3819,1.3825,2436,Bull,1.3766,1.3742,1.3743,2443,Bear,1.3835,1.3825,1.3832,TRUE
1272,2217,Bull,1.3593,1.3571,1.3588,2263,Bear,1.3674,1.3651,1.3665,2289,Bull,1.3604,1.3569,1.3601,2367,Bear,1.3773,1.3744,1.3769,2392,Bull,1.3727,1.3709,1.3727,2443,Bear,1.3835,1.3825,1.3832,TRUE
1274,2217,Bull,1.3593,1.3571,1.3588,2263,Bear,1.3674,1.3651,1.3665,2289,Bull,1.3604,1.3569,1.3601,2412,Bear,1.3834,1.3819,1.3825,2436,Bull,1.3766,1.3742,1.3743,2443,Bear,1.3835,1.3825,1.3832,TRUE
1474,2240,Bull,1.3601,1.3584,1.3592,2263,Bear,1.3674,1.3651,1.3665,2289,Bull,1.3604,1.3569,1.3601,2367,Bear,1.3773,1.3744,1.3769,2392,Bull,1.3727,1.3709,1.3727,2443,Bear,1.3835,1.3825,1.3832,TRUE
1476,2240,Bull,1.3601,1.3584,1.3592,2263,Bear,1.3674,1.3651,1.3665,2289,Bull,1.3604,1.3569,1.3601,2412,Bear,1.3834,1.3819,1.3825,2436,Bull,1.3766,1.3742,1.3743,2443,Bear,1.3835,1.3825,1.3832,TRUE
1561,2282,Bull,1.3591,1.3581,1.359,2287,Bear,1.3612,1.3599,1.3607,2289,Bull,1.3604,1.3569,1.3601,2367,Bear,1.3773,1.3744,1.3769,2392,Bull,1.3727,1.3709,1.3727,2443,Bear,1.3835,1.3825,1.3832,TRUE
1563,2282,Bull,1.3591,1.3581,1.359,2287,Bear,1.3612,1.3599,1.3607,2289,Bull,1.3604,1.3569,1.3601,2412,Bear,1.3834,1.3819,1.3825,2436,Bull,1.3766,1.3742,1.3743,2443,Bear,1.3835,1.3825,1.3832,TRUE
1608,2289,Bull,1.3604,1.3569,1.3601,2339,Bear,1.3734,1.3709,1.371,2349,Bull,1.3677,1.3668,1.3673,2412,Bear,1.3834,1.3819,1.3825,2436,Bull,1.3766,1.3742,1.3743,2443,Bear,1.3835,1.3825,1.3832,TRUE
849,2412,Bear,1.3834,1.3819,1.3825,2436,Bull,1.3766,1.3742,1.3743,2443,Bear,1.3835,1.3825,1.3832,2627,Bull,1.3663,1.3642,1.3654,2630,Bear,1.3693,1.3673,1.3674,2652,Bull,1.3649,1.3626,1.3648,TRUE
1404,2443,Bear,1.3835,1.3825,1.3832,2488,Bull,1.3784,1.3736,1.3743,2532,Bear,1.383,1.3806,1.3807,2627,Bull,1.3663,1.3642,1.3654,2630,Bear,1.3693,1.3673,1.3674,2652,Bull,1.3649,1.3626,1.3648,TRUE
1443,2443,Bear,1.3835,1.3825,1.3832,2556,Bull,1.3735,1.371,1.3733,2584,Bear,1.3815,1.3797,1.3804,2627,Bull,1.3663,1.3642,1.3654,2630,Bear,1.3693,1.3673,1.3674,2652,Bull,1.3649,1.3626,1.3648,TRUE
1545,2532,Bear,1.383,1.3806,1.3807,2556,Bull,1.3735,1.371,1.3733,2584,Bear,1.3815,1.3797,1.3804,2627,Bull,1.3663,1.3642,1.3654,2630,Bear,1.3693,1.3673,1.3674,2652,Bull,1.3649,1.3626,1.3648,TRUE
1179,2412,Bear,1.3834,1.3819,1.3825,2436,Bull,1.3766,1.3742,1.3743,2443,Bear,1.3835,1.3825,1.3832,2627,Bull,1.3663,1.3642,1.3654,2630,Bear,1.3693,1.3673,1.3674,2657,Bull,1.3618,1.3606,1.3607,TRUE
1991,2443,Bear,1.3835,1.3825,1.3832,2488,Bull,1.3784,1.3736,1.3743,2532,Bear,1.383,1.3806,1.3807,2627,Bull,1.3663,1.3642,1.3654,2630,Bear,1.3693,1.3673,1.3674,2657,Bull,1.3618,1.3606,1.3607,TRUE
2057,2443,Bear,1.3835,1.3825,1.3832,2556,Bull,1.3735,1.371,1.3733,2584,Bear,1.3815,1.3797,1.3804,2627,Bull,1.3663,1.3642,1.3654,2630,Bear,1.3693,1.3673,1.3674,2657,Bull,1.3618,1.3606,1.3607,TRUE
2223,2532,Bear,1.383,1.3806,1.3807,2556,Bull,1.3735,1.371,1.3733,2584,Bear,1.3815,1.3797,1.3804,2627,Bull,1.3663,1.3642,1.3654,2630,Bear,1.3693,1.3673,1.3674,2657,Bull,1.3618,1.3606,1.3607,TRUE
759,2532,Bear,1.383,1.3806,1.3807,2556,Bull,1.3735,1.371,1.3733,2584,Bear,1.3815,1.3797,1.3804,2723,Bull,1.3444,1.3424,1.3443,2769,Bear,1.3607,1.3561,1.36,2805,Bull,1.3411,1.3401,1.3405,TRUE
926,2532,Bear,1.383,1.3806,1.3807,2657,Bull,1.3618,1.3606,1.3607,2688,Bear,1.3699,1.3688,1.3694,2723,Bull,1.3444,1.3424,1.3443,2769,Bear,1.3607,1.3561,1.36,2805,Bull,1.3411,1.3401,1.3405,TRUE
1482,2584,Bear,1.3815,1.3797,1.3804,2657,Bull,1.3618,1.3606,1.3607,2688,Bear,1.3699,1.3688,1.3694,2723,Bull,1.3444,1.3424,1.3443,2769,Bear,1.3607,1.3561,1.36,2805,Bull,1.3411,1.3401,1.3405,TRUE
187,2532,Bear,1.383,1.3806,1.3807,2556,Bull,1.3735,1.371,1.3733,2584,Bear,1.3815,1.3797,1.3804,2723,Bull,1.3444,1.3424,1.3443,2769,Bear,1.3607,1.3561,1.36,2811,Bull,1.3409,1.3393,1.3407,TRUE
481,2532,Bear,1.383,1.3806,1.3807,2657,Bull,1.3618,1.3606,1.3607,2688,Bear,1.3699,1.3688,1.3694,2723,Bull,1.3444,1.3424,1.3443,2769,Bear,1.3607,1.3561,1.36,2811,Bull,1.3409,1.3393,1.3407,TRUE
1445,2584,Bear,1.3815,1.3797,1.3804,2657,Bull,1.3618,1.3606,1.3607,2688,Bear,1.3699,1.3688,1.3694,2723,Bull,1.3444,1.3424,1.3443,2769,Bear,1.3607,1.3561,1.36,2811,Bull,1.3409,1.3393,1.3407,TRUE
255,2532,Bear,1.383,1.3806,1.3807,2556,Bull,1.3735,1.371,1.3733,2584,Bear,1.3815,1.3797,1.3804,2723,Bull,1.3444,1.3424,1.3443,2769,Bear,1.3607,1.3561,1.36,2816,Bull,1.3395,1.3364,1.3393,TRUE
676,2532,Bear,1.383,1.3806,1.3807,2657,Bull,1.3618,1.3606,1.3607,2688,Bear,1.3699,1.3688,1.3694,2723,Bull,1.3444,1.3424,1.3443,2769,Bear,1.3607,1.3561,1.36,2816,Bull,1.3395,1.3364,1.3393,TRUE
2048,2584,Bear,1.3815,1.3797,1.3804,2657,Bull,1.3618,1.3606,1.3607,2688,Bear,1.3699,1.3688,1.3694,2723,Bull,1.3444,1.3424,1.3443,2769,Bear,1.3607,1.3561,1.36,2816,Bull,1.3395,1.3364,1.3393,TRUE
1743,2584,Bear,1.3815,1.3797,1.3804,2657,Bull,1.3618,1.3606,1.3607,2688,Bear,1.3699,1.3688,1.3694,2723,Bull,1.3444,1.3424,1.3443,2769,Bear,1.3607,1.3561,1.36,2834,Bull,1.3362,1.3353,1.3361,TRUE
543,2935,Bear,1.3514,1.3489,1.351,2941,Bull,1.3486,1.3464,1.3467,2959,Bear,1.351,1.349,1.3491,3012,Bull,1.3362,1.3342,1.3348,3031,Bear,1.339,1.3369,1.3371,3043,Bull,1.3335,1.3316,1.3321,TRUE
552,2935,Bear,1.3514,1.3489,1.351,2962,Bull,1.3433,1.3408,1.3431,2988,Bear,1.345,1.3437,1.3445,3012,Bull,1.3362,1.3342,1.3348,3031,Bear,1.339,1.3369,1.3371,3043,Bull,1.3335,1.3316,1.3321,TRUE
563,2959,Bear,1.351,1.349,1.3491,2962,Bull,1.3433,1.3408,1.3431,2988,Bear,1.345,1.3437,1.3445,3012,Bull,1.3362,1.3342,1.3348,3031,Bear,1.339,1.3369,1.3371,3043,Bull,1.3335,1.3316,1.3321,TRUE
1051,2935,Bear,1.3514,1.3489,1.351,2941,Bull,1.3486,1.3464,1.3467,2959,Bear,1.351,1.349,1.3491,3012,Bull,1.3362,1.3342,1.3348,3031,Bear,1.339,1.3369,1.3371,3080,Bull,1.3317,1.3278,1.3304,TRUE
1053,2935,Bear,1.3514,1.3489,1.351,2941,Bull,1.3486,1.3464,1.3467,2959,Bear,1.351,1.349,1.3491,3043,Bull,1.3335,1.3316,1.3321,3056,Bear,1.3354,1.3339,1.3339,3080,Bull,1.3317,1.3278,1.3304,TRUE
1076,2935,Bear,1.3514,1.3489,1.351,2962,Bull,1.3433,1.3408,1.3431,2988,Bear,1.345,1.3437,1.3445,3012,Bull,1.3362,1.3342,1.3348,3031,Bear,1.339,1.3369,1.3371,3080,Bull,1.3317,1.3278,1.3304,TRUE
1078,2935,Bear,1.3514,1.3489,1.351,2962,Bull,1.3433,1.3408,1.3431,2988,Bear,1.345,1.3437,1.3445,3043,Bull,1.3335,1.3316,1.3321,3056,Bear,1.3354,1.3339,1.3339,3080,Bull,1.3317,1.3278,1.3304,TRUE
1112,2959,Bear,1.351,1.349,1.3491,2962,Bull,1.3433,1.3408,1.3431,2988,Bear,1.345,1.3437,1.3445,3012,Bull,1.3362,1.3342,1.3348,3031,Bear,1.339,1.3369,1.3371,3080,Bull,1.3317,1.3278,1.3304,TRUE
1114,2959,Bear,1.351,1.349,1.3491,2962,Bull,1.3433,1.3408,1.3431,2988,Bear,1.345,1.3437,1.3445,3043,Bull,1.3335,1.3316,1.3321,3056,Bear,1.3354,1.3339,1.3339,3080,Bull,1.3317,1.3278,1.3304,TRUE
907,2935,Bear,1.3514,1.3489,1.351,2941,Bull,1.3486,1.3464,1.3467,2959,Bear,1.351,1.349,1.3491,3080,Bull,1.3317,1.3278,1.3304,3130,Bear,1.337,1.3345,1.3354,3136,Bull,1.3252,1.3195,1.3252,TRUE
1135,2935,Bear,1.3514,1.3489,1.351,2962,Bull,1.3433,1.3408,1.3431,2988,Bear,1.345,1.3437,1.3445,3080,Bull,1.3317,1.3278,1.3304,3130,Bear,1.337,1.3345,1.3354,3136,Bull,1.3252,1.3195,1.3252,TRUE
1627,2959,Bear,1.351,1.349,1.3491,2962,Bull,1.3433,1.3408,1.3431,2988,Bear,1.345,1.3437,1.3445,3080,Bull,1.3317,1.3278,1.3304,3130,Bear,1.337,1.3345,1.3354,3136,Bull,1.3252,1.3195,1.3252,TRUE
1754,3159,Bear,1.3352,1.3308,1.3313,3164,Bull,1.3283,1.3262,1.3264,3179,Bear,1.3334,1.3315,1.3329,3254,Bull,1.3236,1.3209,1.3235,3267,Bear,1.3262,1.3257,1.326,3275,Bull,1.3224,1.3162,1.3214,TRUE
752,3363,Bull,1.3202,1.3191,1.3192,3392,Bear,1.3283,1.3246,1.3274,3403,Bull,1.3243,1.3172,1.3239,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3593,Bear,1.3444,1.3434,1.344,TRUE
957,3403,Bull,1.3243,1.3172,1.3239,3421,Bear,1.3375,1.3346,1.3357,3465,Bull,1.3207,1.3174,1.3185,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3593,Bear,1.3444,1.3434,1.344,TRUE
967,3403,Bull,1.3243,1.3172,1.3239,3421,Bear,1.3375,1.3346,1.3357,3510,Bull,1.3257,1.324,1.3252,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3593,Bear,1.3444,1.3434,1.344,TRUE
1081,3465,Bull,1.3207,1.3174,1.3185,3505,Bear,1.3275,1.3259,1.3272,3510,Bull,1.3257,1.324,1.3252,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3593,Bear,1.3444,1.3434,1.344,TRUE
1076,3363,Bull,1.3202,1.3191,1.3192,3392,Bear,1.3283,1.3246,1.3274,3403,Bull,1.3243,1.3172,1.3239,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3596,Bear,1.3446,1.3437,1.3443,TRUE
1396,3403,Bull,1.3243,1.3172,1.3239,3421,Bear,1.3375,1.3346,1.3357,3465,Bull,1.3207,1.3174,1.3185,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3596,Bear,1.3446,1.3437,1.3443,TRUE
1413,3403,Bull,1.3243,1.3172,1.3239,3421,Bear,1.3375,1.3346,1.3357,3510,Bull,1.3257,1.324,1.3252,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3596,Bear,1.3446,1.3437,1.3443,TRUE
1602,3465,Bull,1.3207,1.3174,1.3185,3505,Bear,1.3275,1.3259,1.3272,3510,Bull,1.3257,1.324,1.3252,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3596,Bear,1.3446,1.3437,1.3443,TRUE
317,3363,Bull,1.3202,1.3191,1.3192,3392,Bear,1.3283,1.3246,1.3274,3403,Bull,1.3243,1.3172,1.3239,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3613,Bear,1.3462,1.3447,1.3457,TRUE
752,3403,Bull,1.3243,1.3172,1.3239,3421,Bear,1.3375,1.3346,1.3357,3465,Bull,1.3207,1.3174,1.3185,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3613,Bear,1.3462,1.3447,1.3457,TRUE
776,3403,Bull,1.3243,1.3172,1.3239,3421,Bear,1.3375,1.3346,1.3357,3510,Bull,1.3257,1.324,1.3252,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3613,Bear,1.3462,1.3447,1.3457,TRUE
1040,3465,Bull,1.3207,1.3174,1.3185,3505,Bear,1.3275,1.3259,1.3272,3510,Bull,1.3257,1.324,1.3252,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3613,Bear,1.3462,1.3447,1.3457,TRUE
82,3403,Bull,1.3243,1.3172,1.3239,3421,Bear,1.3375,1.3346,1.3357,3465,Bull,1.3207,1.3174,1.3185,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3639,Bear,1.35,1.3475,1.3485,TRUE
91,3403,Bull,1.3243,1.3172,1.3239,3421,Bear,1.3375,1.3346,1.3357,3465,Bull,1.3207,1.3174,1.3185,3613,Bear,1.3462,1.3447,1.3457,3634,Bull,1.3427,1.3409,1.3425,3639,Bear,1.35,1.3475,1.3485,TRUE
120,3403,Bull,1.3243,1.3172,1.3239,3421,Bear,1.3375,1.3346,1.3357,3510,Bull,1.3257,1.324,1.3252,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3639,Bear,1.35,1.3475,1.3485,TRUE
129,3403,Bull,1.3243,1.3172,1.3239,3421,Bear,1.3375,1.3346,1.3357,3510,Bull,1.3257,1.324,1.3252,3613,Bear,1.3462,1.3447,1.3457,3634,Bull,1.3427,1.3409,1.3425,3639,Bear,1.35,1.3475,1.3485,TRUE
591,3465,Bull,1.3207,1.3174,1.3185,3505,Bear,1.3275,1.3259,1.3272,3510,Bull,1.3257,1.324,1.3252,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3639,Bear,1.35,1.3475,1.3485,TRUE
600,3465,Bull,1.3207,1.3174,1.3185,3505,Bear,1.3275,1.3259,1.3272,3510,Bull,1.3257,1.324,1.3252,3613,Bear,1.3462,1.3447,1.3457,3634,Bull,1.3427,1.3409,1.3425,3639,Bear,1.35,1.3475,1.3485,TRUE
102,3403,Bull,1.3243,1.3172,1.3239,3421,Bear,1.3375,1.3346,1.3357,3465,Bull,1.3207,1.3174,1.3185,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3649,Bear,1.3505,1.3495,1.3504,TRUE
117,3403,Bull,1.3243,1.3172,1.3239,3421,Bear,1.3375,1.3346,1.3357,3465,Bull,1.3207,1.3174,1.3185,3613,Bear,1.3462,1.3447,1.3457,3634,Bull,1.3427,1.3409,1.3425,3649,Bear,1.3505,1.3495,1.3504,TRUE
154,3403,Bull,1.3243,1.3172,1.3239,3421,Bear,1.3375,1.3346,1.3357,3510,Bull,1.3257,1.324,1.3252,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3649,Bear,1.3505,1.3495,1.3504,TRUE
169,3403,Bull,1.3243,1.3172,1.3239,3421,Bear,1.3375,1.3346,1.3357,3510,Bull,1.3257,1.324,1.3252,3613,Bear,1.3462,1.3447,1.3457,3634,Bull,1.3427,1.3409,1.3425,3649,Bear,1.3505,1.3495,1.3504,TRUE
832,3465,Bull,1.3207,1.3174,1.3185,3505,Bear,1.3275,1.3259,1.3272,3510,Bull,1.3257,1.324,1.3252,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3649,Bear,1.3505,1.3495,1.3504,TRUE
847,3465,Bull,1.3207,1.3174,1.3185,3505,Bear,1.3275,1.3259,1.3272,3510,Bull,1.3257,1.324,1.3252,3613,Bear,1.3462,1.3447,1.3457,3634,Bull,1.3427,1.3409,1.3425,3649,Bear,1.3505,1.3495,1.3504,TRUE
276,3465,Bull,1.3207,1.3174,1.3185,3505,Bear,1.3275,1.3259,1.3272,3510,Bull,1.3257,1.324,1.3252,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3660,Bear,1.3517,1.3486,1.3516,TRUE
301,3465,Bull,1.3207,1.3174,1.3185,3505,Bear,1.3275,1.3259,1.3272,3510,Bull,1.3257,1.324,1.3252,3613,Bear,1.3462,1.3447,1.3457,3634,Bull,1.3427,1.3409,1.3425,3660,Bear,1.3517,1.3486,1.3516,TRUE
304,3465,Bull,1.3207,1.3174,1.3185,3505,Bear,1.3275,1.3259,1.3272,3510,Bull,1.3257,1.324,1.3252,3649,Bear,1.3505,1.3495,1.3504,3657,Bull,1.3464,1.3454,1.3459,3660,Bear,1.3517,1.3486,1.3516,TRUE
462,3465,Bull,1.3207,1.3174,1.3185,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3649,Bear,1.3505,1.3495,1.3504,3657,Bull,1.3464,1.3454,1.3459,3660,Bear,1.3517,1.3486,1.3516,TRUE
604,3510,Bull,1.3257,1.324,1.3252,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3649,Bear,1.3505,1.3495,1.3504,3657,Bull,1.3464,1.3454,1.3459,3660,Bear,1.3517,1.3486,1.3516,TRUE
642,3558,Bull,1.341,1.339,1.3404,3565,Bear,1.342,1.3403,1.3404,3570,Bull,1.3407,1.3386,1.3402,3649,Bear,1.3505,1.3495,1.3504,3657,Bull,1.3464,1.3454,1.3459,3660,Bear,1.3517,1.3486,1.3516,TRUE
374,3465,Bull,1.3207,1.3174,1.3185,3505,Bear,1.3275,1.3259,1.3272,3510,Bull,1.3257,1.324,1.3252,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3663,Bear,1.3522,1.3493,1.3499,TRUE
409,3465,Bull,1.3207,1.3174,1.3185,3505,Bear,1.3275,1.3259,1.3272,3510,Bull,1.3257,1.324,1.3252,3613,Bear,1.3462,1.3447,1.3457,3634,Bull,1.3427,1.3409,1.3425,3663,Bear,1.3522,1.3493,1.3499,TRUE
415,3465,Bull,1.3207,1.3174,1.3185,3505,Bear,1.3275,1.3259,1.3272,3510,Bull,1.3257,1.324,1.3252,3649,Bear,1.3505,1.3495,1.3504,3657,Bull,1.3464,1.3454,1.3459,3663,Bear,1.3522,1.3493,1.3499,TRUE
655,3465,Bull,1.3207,1.3174,1.3185,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3649,Bear,1.3505,1.3495,1.3504,3657,Bull,1.3464,1.3454,1.3459,3663,Bear,1.3522,1.3493,1.3499,TRUE
876,3510,Bull,1.3257,1.324,1.3252,3543,Bear,1.3438,1.3406,1.341,3570,Bull,1.3407,1.3386,1.3402,3649,Bear,1.3505,1.3495,1.3504,3657,Bull,1.3464,1.3454,1.3459,3663,Bear,1.3522,1.3493,1.3499,TRUE
940,3558,Bull,1.341,1.339,1.3404,3565,Bear,1.342,1.3403,1.3404,3570,Bull,1.3407,1.3386,1.3402,3649,Bear,1.3505,1.3495,1.3504,3657,Bull,1.3464,1.3454,1.3459,3663,Bear,1.3522,1.3493,1.3499,TRUE
171,3558,Bull,1.341,1.339,1.3404,3565,Bear,1.342,1.3403,1.3404,3570,Bull,1.3407,1.3386,1.3402,3762,Bear,1.3599,1.3584,1.3586,3776,Bull,1.3515,1.349,1.3501,3825,Bear,1.3604,1.3582,1.3582,TRUE
1213,3570,Bull,1.3407,1.3386,1.3402,3613,Bear,1.3462,1.3447,1.3457,3634,Bull,1.3427,1.3409,1.3425,3762,Bear,1.3599,1.3584,1.3586,3776,Bull,1.3515,1.349,1.3501,3825,Bear,1.3604,1.3582,1.3582,TRUE
516,3570,Bull,1.3407,1.3386,1.3402,3613,Bear,1.3462,1.3447,1.3457,3634,Bull,1.3427,1.3409,1.3425,3762,Bear,1.3599,1.3584,1.3586,3776,Bull,1.3515,1.349,1.3501,3848,Bear,1.362,1.3595,1.3611,TRUE
519,3570,Bull,1.3407,1.3386,1.3402,3613,Bear,1.3462,1.3447,1.3457,3634,Bull,1.3427,1.3409,1.3425,3825,Bear,1.3604,1.3582,1.3582,3831,Bull,1.3567,1.3532,1.3561,3848,Bear,1.362,1.3595,1.3611,TRUE
912,3634,Bull,1.3427,1.3409,1.3425,3762,Bear,1.3599,1.3584,1.3586,3776,Bull,1.3515,1.349,1.3501,3867,Bear,1.3646,1.3642,1.3644,3874,Bull,1.3634,1.3621,1.3627,3898,Bear,1.3749,1.3734,1.3744,TRUE
1491,3711,Bull,1.3465,1.3431,1.3447,3762,Bear,1.3599,1.3584,1.3586,3776,Bull,1.3515,1.349,1.3501,3867,Bear,1.3646,1.3642,1.3644,3874,Bull,1.3634,1.3621,1.3627,3898,Bear,1.3749,1.3734,1.3744,TRUE
1952,3898,Bear,1.3749,1.3734,1.3744,3908,Bull,1.372,1.3701,1.3704,3920,Bear,1.3743,1.3724,1.3733,3975,Bull,1.359,1.3573,1.3582,4023,Bear,1.3662,1.3633,1.3656,4043,Bull,1.3568,1.3552,1.3557,TRUE
1877,3898,Bear,1.3749,1.3734,1.3744,3908,Bull,1.372,1.3701,1.3704,3920,Bear,1.3743,1.3724,1.3733,4073,Bull,1.3459,1.344,1.3456,4089,Bear,1.3497,1.348,1.3483,4092,Bull,1.3457,1.3436,1.3455,TRUE
1941,3898,Bear,1.3749,1.3734,1.3744,3930,Bull,1.3673,1.3653,1.367,3944,Bear,1.369,1.3676,1.3677,4073,Bull,1.3459,1.344,1.3456,4089,Bear,1.3497,1.348,1.3483,4092,Bull,1.3457,1.3436,1.3455,TRUE
1981,3898,Bear,1.3749,1.3734,1.3744,3975,Bull,1.359,1.3573,1.3582,4023,Bear,1.3662,1.3633,1.3656,4073,Bull,1.3459,1.344,1.3456,4089,Bear,1.3497,1.348,1.3483,4092,Bull,1.3457,1.3436,1.3455,TRUE
2005,3920,Bear,1.3743,1.3724,1.3733,3930,Bull,1.3673,1.3653,1.367,3944,Bear,1.369,1.3676,1.3677,4073,Bull,1.3459,1.344,1.3456,4089,Bear,1.3497,1.348,1.3483,4092,Bull,1.3457,1.3436,1.3455,TRUE
2045,3920,Bear,1.3743,1.3724,1.3733,3975,Bull,1.359,1.3573,1.3582,4023,Bear,1.3662,1.3633,1.3656,4073,Bull,1.3459,1.344,1.3456,4089,Bear,1.3497,1.348,1.3483,4092,Bull,1.3457,1.3436,1.3455,TRUE
2067,3944,Bear,1.369,1.3676,1.3677,3975,Bull,1.359,1.3573,1.3582,4023,Bear,1.3662,1.3633,1.3656,4073,Bull,1.3459,1.344,1.3456,4089,Bear,1.3497,1.348,1.3483,4092,Bull,1.3457,1.3436,1.3455,TRUE
