sn,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,cond_all
1247,854,Bull,1.3618,1.3572,1.3614,902,Bear,1.3787,1.3764,1.3767,924,Bull,1.374,1.372,1.3735,992,Bear,1.3895,1.387,1.3873,1003,Bull,1.391,1.3844,1.3905,1023,Bear,1.3982,1.3964,1.3977,TRUE
1299,871,Bull,1.3617,1.3591,1.3616,902,Bear,1.3787,1.3764,1.3767,924,Bull,1.374,1.372,1.3735,992,Bear,1.3895,1.387,1.3873,1003,Bull,1.391,1.3844,1.3905,1023,Bear,1.3982,1.3964,1.3977,TRUE
1323,924,Bull,1.374,1.372,1.3735,953,Bear,1.3834,1.3824,1.3828,969,Bull,1.3797,1.3767,1.3779,992,Bear,1.3895,1.387,1.3873,1003,Bull,1.391,1.3844,1.3905,1023,Bear,1.3982,1.3964,1.3977,TRUE
1105,854,Bull,1.3618,1.3572,1.3614,865,Bear,1.3642,1.363,1.3634,871,Bull,1.3617,1.3591,1.3616,953,Bear,1.3834,1.3824,1.3828,969,Bull,1.3797,1.3767,1.3779,1042,Bear,1.3983,1.3967,1.3974,TRUE
1125,854,Bull,1.3618,1.3572,1.3614,865,Bear,1.3642,1.363,1.3634,871,Bull,1.3617,1.3591,1.3616,992,Bear,1.3895,1.387,1.3873,1003,Bull,1.391,1.3844,1.3905,1042,Bear,1.3983,1.3967,1.3974,TRUE
1127,854,Bull,1.3618,1.3572,1.3614,865,Bear,1.3642,1.363,1.3634,871,Bull,1.3617,1.3591,1.3616,1023,Bear,1.3982,1.3964,1.3977,1038,Bull,1.3949,1.3935,1.3939,1042,Bear,1.3983,1.3967,1.3974,TRUE
1247,854,Bull,1.3618,1.3572,1.3614,902,Bear,1.3787,1.3764,1.3767,924,Bull,1.374,1.372,1.3735,992,Bear,1.3895,1.387,1.3873,1003,Bull,1.391,1.3844,1.3905,1042,Bear,1.3983,1.3967,1.3974,TRUE
1249,854,Bull,1.3618,1.3572,1.3614,902,Bear,1.3787,1.3764,1.3767,924,Bull,1.374,1.372,1.3735,1023,Bear,1.3982,1.3964,1.3977,1038,Bull,1.3949,1.3935,1.3939,1042,Bear,1.3983,1.3967,1.3974,TRUE
1285,854,Bull,1.3618,1.3572,1.3614,953,Bear,1.3834,1.3824,1.3828,969,Bull,1.3797,1.3767,1.3779,1023,Bear,1.3982,1.3964,1.3977,1038,Bull,1.3949,1.3935,1.3939,1042,Bear,1.3983,1.3967,1.3974,TRUE
1303,854,Bull,1.3618,1.3572,1.3614,992,Bear,1.3895,1.387,1.3873,1003,Bull,1.391,1.3844,1.3905,1023,Bear,1.3982,1.3964,1.3977,1038,Bull,1.3949,1.3935,1.3939,1042,Bear,1.3983,1.3967,1.3974,TRUE
1375,871,Bull,1.3617,1.3591,1.3616,902,Bear,1.3787,1.3764,1.3767,924,Bull,1.374,1.372,1.3735,992,Bear,1.3895,1.387,1.3873,1003,Bull,1.391,1.3844,1.3905,1042,Bear,1.3983,1.3967,1.3974,TRUE
1377,871,Bull,1.3617,1.3591,1.3616,902,Bear,1.3787,1.3764,1.3767,924,Bull,1.374,1.372,1.3735,1023,Bear,1.3982,1.3964,1.3977,1038,Bull,1.3949,1.3935,1.3939,1042,Bear,1.3983,1.3967,1.3974,TRUE
1413,871,Bull,1.3617,1.3591,1.3616,953,Bear,1.3834,1.3824,1.3828,969,Bull,1.3797,1.3767,1.3779,1023,Bear,1.3982,1.3964,1.3977,1038,Bull,1.3949,1.3935,1.3939,1042,Bear,1.3983,1.3967,1.3974,TRUE
1431,871,Bull,1.3617,1.3591,1.3616,992,Bear,1.3895,1.387,1.3873,1003,Bull,1.391,1.3844,1.3905,1023,Bear,1.3982,1.3964,1.3977,1038,Bull,1.3949,1.3935,1.3939,1042,Bear,1.3983,1.3967,1.3974,TRUE
1443,924,Bull,1.374,1.372,1.3735,953,Bear,1.3834,1.3824,1.3828,969,Bull,1.3797,1.3767,1.3779,992,Bear,1.3895,1.387,1.3873,1003,Bull,1.391,1.3844,1.3905,1042,Bear,1.3983,1.3967,1.3974,TRUE
1445,924,Bull,1.374,1.372,1.3735,953,Bear,1.3834,1.3824,1.3828,969,Bull,1.3797,1.3767,1.3779,1023,Bear,1.3982,1.3964,1.3977,1038,Bull,1.3949,1.3935,1.3939,1042,Bear,1.3983,1.3967,1.3974,TRUE
1463,924,Bull,1.374,1.372,1.3735,992,Bear,1.3895,1.387,1.3873,1003,Bull,1.391,1.3844,1.3905,1023,Bear,1.3982,1.3964,1.3977,1038,Bull,1.3949,1.3935,1.3939,1042,Bear,1.3983,1.3967,1.3974,TRUE
